label,content,back_translation,synonym_aug
3,cô rất thân thiện .,cô rất thân thiện .,cô rất thân thiện .
2,nội dung ôn tập mà giảng viên cung cấp đầy đủ và đáp ứng được cho sinh viên hoàn thành các kỳ thi .,nội dung ôn tập mà giảng viên cung cấp đầy đủ và đáp ứng được cho sinh viên hoàn thành các kỳ thi .,nội dung ôn tập mà giảng viên cung cấp đầy đủ và đáp ứng được cho sinh viên hoàn thành các kỳ thi .
1,theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài .,theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài .,theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài .
3,"cô giảng nhiệt tình , chỉ bài cho tụi em thì lại tới chỗ .","cô giảng nhiệt tình , chỉ bài cho tụi em thì lại tới chỗ .","cô giảng nhiệt tình , chỉ bài cho tụi em thì lại tới chỗ ."
2,tăng hiệu suất máy tính .,tăng hiệu suất máy tính .,tăng hiệu suất máy tính .
1,chưa được tham gia chiến dịch thực tế và tham quan công ty .,chưa được tham gia chiến dịch thực tế và tham quan công ty .,chưa được tham gia chiến dịch thực tế và tham quan công ty .
3,"giờ học luôn sinh động , hiệu quả , giúp học sinh nắm vững kiến thức .","giờ học luôn sinh động , hiệu quả , giúp học sinh nắm vững kiến thức .","giờ học luôn sinh động , hiệu quả , giúp học sinh nắm vững kiến thức ."
1,"cần giảng kỹ hơn chút nhưng cũng đừng quá chậm , giảng viên nên quan niệm sinh viên đã đọc sơ bài ở nhà rồi , nên đi sâu vào những ý mới , đặc thù của từng phần .","cần giảng kỹ hơn chút nhưng cũng đừng quá chậm , giảng viên nên quan niệm sinh viên đã đọc sơ bài ở nhà rồi , nên đi sâu vào những ý mới , đặc thù của từng phần .","cần giảng kỹ hơn chút nhưng cũng đừng quá chậm , giảng viên nên quan niệm sinh viên đã đọc sơ bài ở nhà rồi , nên đi sâu vào những ý mới , đặc thù của từng phần ."
1,thầy không dùng micro nên ngồi ở xa không nghe rõ .,thầy không dùng micro nên ngồi ở xa không nghe rõ .,thầy không dùng micro nên ngồi ở xa không nghe rõ .
3,thầy giảng bài rất dễ hiểu .,thầy giảng bài rất dễ hiểu .,thầy giảng bài rất dễ hiểu .
3,"giảng viên tận tâm , nhiệt tình , giỏi .","giảng viên tận tâm , nhiệt tình , giỏi .","giảng viên tận tâm , nhiệt tình , giỏi ."
2,giọng cô nghe dễ ngủ !,giọng cô nghe dễ ngủ !,giọng cô nghe dễ ngủ !
2,giảng viên dạy không nhàm chán .,giảng viên dạy không nhàm chán .,giảng viên dạy không nhàm chán .
1,có những buổi thực hành giảng viên không có mặt .,có những buổi thực hành giảng viên không có mặt .,có những buổi thực hành giảng viên không có mặt .
2,sử dụng hệ thống làm bài online để làm bài tập .,sử dụng hệ thống làm bài online để làm bài tập .,sử dụng hệ thống làm bài online để làm bài tập .
3,"giảng dạy tốt , đưa ra nhiều vấn đề cho sinh viên tham khảo .","giảng dạy tốt , đưa ra nhiều vấn đề cho sinh viên tham khảo .","giảng dạy tốt , đưa ra nhiều vấn đề cho sinh viên tham khảo ."
3,giảng viên ra đồ án cho sinh viên về làm để mở rộng kiến thức .,giảng viên ra đồ án cho sinh viên về làm để mở rộng kiến thức .,giảng viên ra đồ án cho sinh viên về làm để mở rộng kiến thức .
3,"giáo viên rất dễ tính , dạy tận tình .","giáo viên rất dễ tính , dạy tận tình .","giáo viên rất dễ tính , dạy tận tình ."
1,giọng hơi khó nghe .,giọng hơi khó nghe .,giọng hơi khó nghe .
2,cảm ơn thầy !,cảm ơn thầy !,cảm ơn thầy !
3,cô dễ tính dạy dễ hiểu nhiệt tình .,cô dễ tính dạy dễ hiểu nhiệt tình .,cô dễ tính dạy dễ hiểu nhiệt tình .
