label,content
4,cô rất yêu nghề và thương sinh viên .
3,"phòng học số lượng sinh viên nhiều , nhưng chỉ có quạt trần , cần trang bị thêm máy lạnh ."
2,đều đều không rõ nghĩa .
1,"em đã nán lại thêm nhưng thầy đi qua đi lại bảo 2 , 3 lần nên em đã về ."
3,"trang thiết bị cần được hỗ trợ tốt hơn , chất lượng máy chiếu không được như ý , khá mờ làm chất lượng thuyết trình và việc giảng dạy không được tốt ."
1,"thầy dạy hơi lan man , diễn đạt không tốt ạ ."
1,"giảng viên nhiệt tình , vui vẻ ."
1,"giảng viên giảng hay , dễ hiểu , dễ vận dụng ."
4,sinh viên nào chê thầy thì em nghĩ sinh viên đó nên xem lại cách học của sinh viên đó .
3,tăng hiệu suất máy tính .
4,cũng bình thường .
3,cần cải tiến trang thiết thực hành .
3,đề nghị nhà trường nên đầu tư thêm cho phòng máy và cập nhật các phần mềm phục vụ cho học tập .
3,nâng cao trang thiết bị học tập .
2,có đôi chỗ cô hơi khó .
3,nâng cấp hệ thống mạng và máy tính .
2,nên có những bài tập nhỏ bám sát với lý thuyết .
3,cần thay đổi phòng học để chất lượng được nâng cao hơn .
2,em xin nhà trường xem lại bài thi anh văn đầu vào .
4,em cám ơn .
2,cần thực hành nhiều lên .
2,"cách giảng bài của thầy chưa được tốt còn thiếu sự gây hứng thú học tập cho sinh viên , đề thi môn học quá dài với lượng kiến thức cần có không phải ít khiến sinh viên khó làm bài tốt ."
2,"tên môn học là seminar các vấn đề hiện đại của công nghệ phần mềm , nhưng phần seminar của mỗi nhóm là trình bày các vấn đề của các phần mềm trong lịch sử , thời trước ."
3,"phòng thực hành thì máy bị treo , bị hư hoài , dây mạng thì cắm lúc nhận lúc không ."
2,chất lượng buổi học tốt .
2,"môn này cần tăng lên 4 tín chỉ thay vì là 3 vì mạng truyền thông và di động có kiến thức khá rộng , môn này không có thực hành nên có thực hành vì mạng di động mà không thực hành thì khá trừu tượng ."
2,cần hạn chế dạy bài giảng điện tử .
2,"đầu tư một bộ giáo trình chất lượng , dễ hiểu ."
4,khó tiếp thu !
4,có một bạn trong phòng của em học thầy ở học kỳ trước hâm mộ thầy !
4,"em thấy nó thật sự rất tốt , giải quyết sinh viên với những vấn đề trên ."
3,nên ưu tiên về cơ sở vật chất cho chất lượng cao đúng như trường đã nói .
2,giáo trình toàn dùng c không dùng cplusplus nhiều dễ gây rối trong quá trình lập trình .
3,"cần tăng thêm số lượng thiết bị , và thời gian thực hành ."
1,cô dạy hay nhiệt tình .
4,chứ nói thật là bọn em làm bài tập tại lớp không kịp ạ .
4,hội thảo nhiều hơn .
2,chưa có nhiều kinh nghiệm về kiến thức .
4,không thực hành được buổi nào .
2,hình thức thi nên là đề mở hoặc trắc nghiệm đề đóng .
4,em không có ý kiến về mục này ạ .
4,cũng ổn .
4,không biết .
1,thầy nên giải thích kỹ hơn .
2,nội dung thực hành và lý thuyết phải sát nhau .
1,giảng viên giảng dạy nhiệt tình và tạo sự hứng thú cho sinh viên .
3,"phòng thực hành cần nâng cấp các bộ kit , thực hành chưa hiệu quả ."
1,chỉ dạy nhiệt tình .
3,trời quá nóng mà không có đủ không khí mát mẻ .
4,đồ họa máy tính là môn có hình thức thực hành 1 .
1,"giảng viên dạy rất tốt , nhiệt tình , khả năng sư phạm cao ."
4,thú vị .
2,"rất nhiều sinh viên không biết "" thực hành này để làm gì "" khi chỉ lên lớp , chạy chương trình có sẵn , chụp ảnh từng bước và dán vào báo cáo mà không biết chương trình chạy đúng hay sai , làm sao để sửa , có những hàm hỗ trợ nào ."
4,"thoải mái , có hiệu quả ."
2,nên thời gian thực hành được phân công từ tiết 1 đến tiết 3 mỗi tuần là hơi ít .
3,"máy chiếu rất mờ , ngồi học lớp 100 người những bạn ngồi cuối hoàn toàn không thấy slide ."
3,âm thanh phòng học wzjwz238 còn quá nhỏ nên khiến thầy thường nói không micro .
1,giáo viên tạo được cảm giác ham học và nhiệt tình với học sinh .
3,cải thiện cơ sở vật chất và thiết bị dạy học .
4,trình bày slide bài giảng rõ ràng hơn .
1,"giáo viên lên lớp đúng giờ , giảng bài sôi động ."
2,kết hợp lý thuyết và thực hành .
4,chưa thực sự tốt .
2,"bài tập nhiều , đa dạng ."
4,chưa rõ mục tiêu và các bước thực hiện bài tập truy vấn dbpedia và tạo ontology .
4,em xin cảm ơn .
4,và rất hiểu sinh viên .
3,"phòng lab còn chạy visual studio 2008 , không biết viết code kiểu gì lên đó nữa , đây cũng là cái ảnh hưởng tới kết quả thi thực hành của nhiều sinh viên quen sử dụng với chuẩn visual studio 2015 ."
2,cần đẩy mạnh tiếng anh liên quan đến ngành .
4,nên tổ chức thêm những buổi hội thảo liên quan đến nội dung môn học .
1,"em biết điều này rất tế nhị và khó cải thiện , đó là việc nghe giảng của em bị hạn chế vì em không nghe được chất giọng fraction tiếng của giảng viên nên hay bị mất kết nối kiến thức giữa chừng trong khi nghe giảng ."
1,"giáo viên dạy tận tâm , dễ hiểu , vui vẻ !"
1,"nhiệt tình , đề cương đầy đủ ."
2,kiến thức thực tế .
2,"đề thi giữa kỳ do giảng viên ra có 15 câu trắc nghiệm nhưng lại có 3 câu ra sai đáp án , trong đó có 1 câu giảng viên không biết câu nào sai và vì sao sai , phần tự luận ra sai câu trigger ."
4,sinh viên trường wzjwz80 chúng ta hoàn toàn không được đánh giá cao so với sinh viên của wzjwz81 và wzjwz82 .
3,"lớp học rộng rãi , giãng viên dạy nhiệt tình ."
2,"hoặc đưa ra những kỹ năng chuyên môn cần phải biết để làm việc trong ngành vì ngành công nghệ thông tin rất rộng ví dụ làm về mảng web thì cần biết php , html , cs , js hay làm về hệ thống nhúng thì cần c ."
1,"thầy dùng quá nhiều thời gian để ghi bài tập trên bảng , em nghĩ thầy nên danh thời gian hướng dẫn bài tập kỹ hơn ."
1,thầy hay up slide lên wed trường rất chậm ( thứ 3 học thì thứ 2 thầy mới up ) .
4,em không có bất kỳ điều gì hài hòng .
3,máy chiếu phòng wzjwz11 chất lượng quá kém .
2,có nhiều ý tưởng cho tiết học thêm sinh động .
2,"môn này chẳng hỗ trợ it gì cả , nên dạy qua loa thôi để sinh viên tập trung các môn khác !"
1,nói chung thầy wzjwz196 dạy toán là tuyệt .
4,giúp em biết được một phần thực tế của công việc sau này .
4,"hình thức đánh giá , chấm điểm giữa các nhóm , đánh giá bản thân , nhóm khách hàng ."
3,"phòng máy quá nóng , nhỏ , trang thiết bị ít , máy rất cũ , hư nhiều ."
2,không nên ràng buộc về kỹ thuật sử dụng trong báo cáo .
1,"dạy hời hợt không tập trung , nhiều vấn đề về kiến thức của sinh viên không giải quyết hoặc chưa đưa ra được cách giải quyết hay ."
2,lý thuyết liên hệ với thực tế dễ hình dung và hiểu rõ vấn đề .
1,"giảng viên dạy dễ hiểu , bài tập hay , tận tình ."
1,dạy toàn tiếng anh .
4,không rõ .
1,cơ sở vật chất của trường còn khá kém và thiếu các hoạt động ngoại khóa .
1,nói hơi nhanh .
4,em xin góp ý như thế ạ .
2,không nên dạy các môn toán trong giảng đường do khó quan sát bảng .
